"RefDes","Value","Quantity","Distributor Part Number"
"C1, C2","100pF","2","BC1057CT-ND"
"C3, C4","1000uF","2","1189-1147-ND"
"C5, C6","0.1uF","2","BC1084CT-ND"
"CONN1","VOUT","1",""
"CONN2","VIN","1",""
"CONN3, CONN4","GND","2",""
"CONN5, CONN6, CONN7","","3",""
"D1, D2","1N4148","2","1N4148FS-ND"
"Q1","TIP31C","1","TIP31CFS-ND"
"Q2","TIP32C","1","TIP32CFS-ND"
"Q3, Q4, Q8, Q9","2N3904","4","2N3904FS-ND"
"Q5, Q6, Q7, Q10","2N3906","4","2N3906FS-ND"
"R1","1K00","1","1.00KXBK-ND"
"R2","27R","1","27QBK-ND"
"R7, R17","R27","2","0.27WCT-ND"
